date,availableBikes,availableDocks
1370056949,39,2
1370056973,39,2
1370057402,39,2
1370057462,39,2
1370057522,39,2
1370057581,39,2
1370057641,39,2
1370057702,40,2
1370057762,40,2
1370057822,40,2
1370057881,40,2
1370057941,40,2
1370058001,40,2
1370058062,40,2
1370058121,40,2
1370058182,40,2
1370058242,40,2
1370058307,40,2
1370058363,40,2
1370058429,40,2
1370058481,40,2
1370058545,40,2
1370058602,40,2
1370058661,40,2
1370058722,40,2
1370058784,40,2
1370058841,40,2
1370058907,40,2
1370058962,40,2
1370059021,40,2
1370059089,40,2
1370059142,40,2
1370059202,40,2
1370059262,40,2
1370059321,40,2
1370059382,40,2
1370059442,40,2
1370059502,40,2
1370059561,40,2
1370059622,40,2
1370059681,40,2
1370059742,40,2
1370059802,40,2
1370059861,40,2
1370059922,40,2
1370059981,40,2
1370060041,40,2
1370060102,40,2
1370060161,40,2
1370060224,40,2
1370060281,40,2
1370060341,40,2
1370060401,40,2
1370060464,40,2
1370060522,40,2
1370060585,40,2
1370060641,40,2
1370060702,40,2
1370060762,40,2
1370060822,40,2
1370060881,40,2
1370060942,40,2
1370061002,40,2
1370061061,40,2
1370061121,40,2
1370061181,40,2
1370061241,40,2
1370061302,40,2
1370061364,40,2
1370061421,40,2
1370061482,40,2
1370061542,40,2
1370061602,40,2
1370061661,40,2
1370061722,40,2
1370061782,40,2
1370061844,40,2
